Question,Answer
What is radiation therapy?,"Radiation therapy (also called radiotherapy) is a cancer treatment that uses high doses of radiation to kill cancer cells and shrink tumors. At low doses, radiation is used as an x-ray to see inside your body and take pictures, such as x-rays of your teeth or broken bones."
How is radiation therapy given?,"Radiation therapy can be external beam or internal. External beam involves a machine outside your body that aims radiation at cancer cells. Internal radiation therapy involves placing radiation inside your body, in or near the cancer. Sometimes people get both forms of radiation therapy. To learn more about external beam radiation therapy, see page 9. To learn more about internal radiation therapy, see page 15."
Who gets radiation therapy?,"Many people with cancer need treatment with radiation therapy. In fact,
more than half (about 60%) of people with cancer have radiation therapy.
Sometimes, radiation therapy is the only kind of cancer treatment people have. "
What does radiation therapy do to cancer cells?,"Given in high doses, radiation kills or slows the growth of cancer cells. Radiation therapy is used to: 
1. Treat cancer. Radiation can be used to cure cancer, to prevent it from returning, or to stop or slow its growth. 

2. Reduce symptoms. When a cure is not possible, radiation may be used to treat pain and other problems caused by the cancer tumor. Or, it can prevent problems that may be caused by a growing tumor, such as blindness or loss of bowel and bladder control."
How long does radiation therapy take to work?,"Radiation therapy does not kill cancer cells right away. It takes days or weeks of treatment before cancer cells start to die. Then, cancer cells keep dying for weeks or months after radiation therapy ends."
What does radiation therapy do to healthy cells?,"Radiation not only kills or slows the growth of cancer cells, it can also affect nearby healthy cells. The healthy cells almost always recover after treatment is over. But sometimes people may have side effects that are severe or do not get better. Other side effects may show up months or years after radiation therapy is over. These are called late side effects. 

Doctors try to protect healthy cells during treatment by: 
1. Using as low a dose of radiation as possible. The radiation dose is balanced between being high enough to kill cancer cells, yet low enough to limit damage to healthy cells. 

2. Spreading out treatment over time. You may get radiation therapy once a day, or in smaller doses twice a day for several weeks. Spreading out the radiation dose allows normal cells to recover while cancer cells die. 

3. Aiming radiation at a precise part of your body. Some types of radiation therapy allow your doctor to aim high doses of radiation at your cancer while reducing radiation to nearby healthy tissue. These techniques use a computer to deliver precise radiation doses to a cancer tumor or to specific areas within the tumor."
Does radiation therapy hurt?,"No, radiation therapy does not hurt while it is being given. But the side effects that people may get from radiation therapy can cause pain and discomfort.
This booklet has a lot of information about ways that you and your doctor and nurse can help manage side effects."
Is radiation therapy used with other types of cancer treatment?,"Yes, radiation therapy is often used with other cancer treatments. Here are some examples: 

1.	Radiation therapy and surgery. Radiation may be given before, during, or after surgery. Doctors may use radiation to shrink the size of the cancer before surgery, or they may use radiation after surgery to kill any cancer cells that remain. Sometimes, radiation therapy is given during surgery, so that it goes straight to the cancer without passing through the skin. Radiation therapy given during surgery is called intraoperative radiation. 

2.	Radiation therapy, chemotherapy, and immunotherapy. Radiation may be given before, during, or after chemotherapy and immunotherapy. Before or during these other treatments, radiation therapy can shrink the cancer so that the treatments work better. After treatment, radiation can be used to kill any cancer cells that remain."
Is radiation therapy expensive?,"Yes, radiation therapy costs a lot of money. It uses complex machines and involves the services of many health care providers. The exact cost of your radiation therapy depends on the cost of health care where you live, what kind of radiation therapy you get, and how many treatments you need. Talk with your health insurance company about what services it will pay for. Most insurance plans pay for radiation therapy. To learn more, talk with the business office of the clinic or hospital where you go for treatment. If you need financial assistance, there are organizations that may be able to help. To find such organizations, go to the National Cancer Institute database, Organizations that Offer Support Services at: supportorgs.cancer.gov and search “financial assistance.”"
Should I follow a special diet while I am getting radiation therapy?,"Your body uses a lot of energy to heal during radiation therapy. It is important that you eat enough calories and protein to keep your weight the same during this time. Ask your doctor or nurse if you need a special diet while you are receiving radiation therapy. You might also find it helpful to speak with a dietitian. To learn more about foods and drinks that are high in calories or protein, see the chart on page 53. You might also read Eating Hints: Before, during, and after Cancer Treatment, a booklet from the National Cancer Institute, at: www. cancer.gov/publications/patienteducation/eating-hints."
Can I continue to work during radiation therapy?,"Some people are able to work full time during radiation therapy. Others can work only part time or not at all. How much you are able to work depends on how you feel. Ask your doctor or nurse what you may expect from the treatment you will have. You are likely to feel well enough to work when you first start radiation treatments. As time goes on, do not be surprised if you are more tired, have less energy, or feel weak. 

Once you have finished treatment, it may take a few weeks or many months to feel better. You may get to a point during radiation therapy when you feel too sick to work. Talk with your employer to find out if you can go on medical leave. Make sure that your health insurance will pay for treatment while you are on medical leave."
How can I cope with my feelings during radiation therapy? ,"Living with cancer and going through treatment can be very stressful. It is normal to feel anxious, depressed, afraid, angry, frustrated, helpless, or alone at some point during radiation therapy. But there are ways you can learn to cope with these feelings. Many people find it helpful to talk with others who are going through the same thing. To meet others, think about joining a support group. These groups meet in-person and online. You might also try relaxation or meditation exercises. Some people find prayer helpful. Exercise can also boost your mood. Try activities such as walking, biking, yoga, or water aerobics. Check with your doctor or nurse about types of exercise that you can safely do during treatment. To learn more about coping with your feelings during cancer treatment: 
•	Visit the Coping with Cancer section of the National Cancer Institute’s website at: www.cancer.gov/about-cancer/coping 

•	Read Taking Time: Support for People with Cancer at: www.cancer.gov/publications/patient-education/taking-time For relaxation exercises: 

•	Visit Learning to Relax on the National Cancer Institute’s website at: www.cancer.gov/about-cancer/coping/feelings/relaxation

•	See Facing Forward: Life after Cancer Treatment at: www.cancer.gov/publications/patient-education/facing-forward"
How do I make the most of radiation therapy?,"You have an important role to play in your radiation therapy. To get the most from this treatment: 
Arrive on time for all radiation therapy sessions.  

Ask questions and talk about your concerns.  

Tell someone on your radiation therapy team when you have side effects and changes with eating or bowel habits. 

Tell your doctor or nurse if you are in pain. Follow the advice of your doctors and nurses about how to care for yourself at home, such as: 
•	taking care of your skin 
•	drinking enough liquids 
•	eating foods to help with side effects  
•	maintaining your weight"
